_id,Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
752,250526-17,2025-05-26T00:00:00,40003619950,MEHĀNIĶIS,Transports / Loģistika,1435.000,1650.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415711695
753,250526-15,2025-05-26T00:00:00,40003619950,TRANSPORTA KONTROLIERIS,Transports / Loģistika,6.630,7.290,Viena vesela slodze,Summētais darba laiks,,2025-09-30T00:00:00,"","Brīvības iela 191, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415711150
754,250526-21,2025-05-26T00:00:00,40003619950,Ritošā sastāva ATSLĒDZNIEKS,Transports / Loģistika,1360.000,1496.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Kleistu iela 28, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415712784
755,250526-19,2025-05-26T00:00:00,40003619950,ELEKTROATSLĒDZNIEKS,Transports / Loģistika,1295.000,1469.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415712495
756,250526-23,2025-05-26T00:00:00,40003619950,"AUTOBUSA, TROLEJBUSA UN TRAMVAJA VADĪTĀJS (MANEVRĒTĀJS)",Transports / Loģistika,6.680,7.000,Viena vesela slodze,Summētais darba laiks,,2025-09-30T00:00:00,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415713423
757,250916-5,2025-09-16T00:00:00,40003619950,SKAITĻOTĀJU /DATU BĀZES ANALĪTIĶIS,Informācijas tehnoloģijas / Telekomunikācijas,2330.000,2447.000,Viena vesela slodze,Normālais darba laiks,,2025-10-07T00:00:00,"","Vestienas iela 35, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426835341
758,250802-8,2025-08-04T00:00:00,40900035103,PSIHOLOGS,Veselības aprūpe / Sociālā aprūpe,541.500,722.500,Nepilna slodze,Normālais darba laiks,17,2025-09-28T00:00:00,"","Juglaskrasti, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/422382341
759,250802-11,2025-08-02T00:00:00,40900035103,SOCIĀLAIS REHABILITĒTĀJS,Veselības aprūpe / Sociālā aprūpe,851.000,1220.000,Viena vesela slodze,Normālais darba laiks,35,2025-09-28T00:00:00,"","Kalnciema ceļš 109, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/422382474
760,250802-13,2025-08-02T00:00:00,40900035103,LOGOPĒDS,Veselības aprūpe / Sociālā aprūpe,682.500,722.500,Nepilna slodze,Normālais darba laiks,17,2025-09-28T00:00:00,"","Kalnciema ceļš 109, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/422382512
761,250802-15,2025-08-02T00:00:00,40900035103,SOCIĀLAIS APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,851.000,1220.000,"",Normālais darba laiks,35,2025-09-28T00:00:00,"","Kalnciema ceļš 109, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/422382551
762,250802-6,2025-08-04T00:00:00,40900035103,LOGOPĒDS,Veselības aprūpe / Sociālā aprūpe,682.500,722.500,Nepilna slodze,Normālais darba laiks,17,2025-09-28T00:00:00,"","Juglaskrasti, Ropaži, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/422382259
763,250505-8,2025-05-05T00:00:00,40900035103,PSIHOLOGS,Veselības aprūpe / Sociālā aprūpe,541.500,722.500,Nepilna slodze,Normālais darba laiks,,2025-09-28T00:00:00,"","Smiltaiņi, Iecava, Bauskas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/413409645
764,250913-3,2025-09-13T00:00:00,40900035103,PSIHOLOGS,Veselības aprūpe / Sociālā aprūpe,1083.000,1445.000,Viena vesela slodze,Normālais darba laiks,,2025-09-28T00:00:00,"","Ziedkalnes 3, Vilces pag., Jelgavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426665861
765,250913-9,2025-09-13T00:00:00,40900035103,PSIHIATRS,Veselības aprūpe / Sociālā aprūpe,918.000,922.000,Nepilna slodze,"",,2025-09-28T00:00:00,"","Lielbērze, Lielbērze, Auru pag., Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426665936
766,250602-120,2025-06-02T00:00:00,50103807561,ZOBĀRSTS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/416447345
767,250602-117,2025-06-02T00:00:00,50103807561,RADIOLOGS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/416446354
768,250522-131,2025-05-22T00:00:00,50103807561,RADIOLOGA ASISTENTS,Veselības aprūpe / Sociālā aprūpe,2100.000,2100.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Sēlpils iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415496220
769,250410-188,2025-04-10T00:00:00,50103807561,SPECIĀLAIS PEDAGOGS,Veselības aprūpe / Sociālā aprūpe,14.600,14.600,Viena vesela slodze,"",,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/411630873
770,250611-98,2025-06-11T00:00:00,50103807561,OTOLARINGOLOGS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,"",,2025-10-10T00:00:00,"","Kokles iela 12, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/417564928
771,250625-95,2025-06-25T00:00:00,50103807561,"GINEKOLOGS, DZEMDĪBU SPECIĀLISTS",Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418622230
772,250625-96,2025-06-25T00:00:00,50103807561,NEIROLOGS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418622630
773,250625-97,2025-06-25T00:00:00,50103807561,NEIROLOGS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418622880
774,250625-100,2025-06-25T00:00:00,50103807561,ENDOKRINOLOGS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418624922
775,250625-103,2025-06-25T00:00:00,50103807561,FIZIKĀLĀS UN REHABILITĀCIJAS MEDICĪNAS ĀRSTS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,"",Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418625568
776,250625-104,2025-06-25T00:00:00,50103807561,KARDIOLOGS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,"",Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418626311
777,250602-122,2025-06-02T00:00:00,50103807561,ZOBĀRSTS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Kaņiera iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/416448173
778,250522-129,2025-05-22T00:00:00,50103807561,RADIOLOGA ASISTENTS,Veselības aprūpe / Sociālā aprūpe,2100.000,2100.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Imantas 8. līnija 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415495830
779,250625-106,2025-06-25T00:00:00,50103807561,KARDIOLOGS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,"",Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418626952
780,250602-123,2025-06-02T00:00:00,50103807561,ZOBĀRSTS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Imantas 8. līnija 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/416448478
781,250522-134,2025-05-22T00:00:00,50103807561,RADIOLOGA ASISTENTS,Veselības aprūpe / Sociālā aprūpe,2100.000,2100.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Kaņiera iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415497000
782,250625-126,2025-06-25T00:00:00,50103807561,UROLOGS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418637996
783,250410-115,2025-04-10T00:00:00,50103807561,SPORTA SPECIĀLISTS,Veselības aprūpe / Sociālā aprūpe,10.290,10.500,Nepilna slodze,"",,2025-10-10T00:00:00,"","Mežrozīšu iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/411601480
784,250410-106,2025-04-10T00:00:00,50103807561,ĢIMENES (VISPĀRĒJĀS PRAKSES) ĀRSTS,Veselības aprūpe / Sociālā aprūpe,13.500,13.800,Viena vesela slodze,"",,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/411599088
785,250410-108,2025-04-10T00:00:00,50103807561,ĢIMENES (VISPĀRĒJĀS PRAKSES) ĀRSTS,Veselības aprūpe / Sociālā aprūpe,13.500,13.800,Viena vesela slodze,"",,2025-10-10T00:00:00,"","Sēlpils iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/411599247
786,250909-68,2025-09-09T00:00:00,50103807561,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,8.350,8.350,"",Summētais darba laiks,,2025-10-10T00:00:00,"","Kaņiera iela 13, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426172114
787,250909-147,2025-09-09T00:00:00,50103807561,VECMĀTE,Veselības aprūpe / Sociālā aprūpe,8.350,8.350,Viena vesela slodze,"",,2025-10-10T00:00:00,"","Sēlpils iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426232584
788,250522-132,2025-05-22T00:00:00,50103807561,RADIOLOGA ASISTENTS,Veselības aprūpe / Sociālā aprūpe,2100.000,2100.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Spulgas iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415496629
789,250522-135,2025-05-22T00:00:00,50103807561,RADIOLOGA ASISTENTS,Veselības aprūpe / Sociālā aprūpe,2100.000,2100.000,Nepilna slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Mežrozīšu iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/415497291
790,250602-124,2025-06-02T00:00:00,50103807561,ZOBĀRSTS,Veselības aprūpe / Sociālā aprūpe,3500.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-10T00:00:00,"","Sēlpils iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/416448709
791,250829-111,2025-08-29T00:00:00,40003109638,Struktūrvienības VADĪTĀJS (citur neklasificētu komercpakalpojumu jomā),Būvniecība / Nekustamais īpašums,3500.000,3500.000,"","",,2025-09-27T00:00:00,"","Rātslaukums 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425048672
792,250919-132,2025-09-19T00:00:00,40003109638,GRĀMATVEDIS (CETURTĀ LĪMEŅA KVALIFIKĀCIJA),Būvniecība / Nekustamais īpašums,1600.000,1600.000,Viena vesela slodze,Normālais darba laiks,,2025-10-18T00:00:00,"","Nēģu iela 7, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/427328882
793,250904-164,2025-09-04T00:00:00,40003109638,SANITĀRAIS INSPEKTORS,Būvniecība / Nekustamais īpašums,8.980,8.980,Viena vesela slodze,Maiņu darbs,40,2025-09-26T00:00:00,"","Nēģu iela 7, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425764729
794,250904-167,2025-09-04T00:00:00,40003109638,SANTEHNIĶIS,Būvniecība / Nekustamais īpašums,1300.000,1300.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"","Rāmuļu iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425765793
795,250910-99,2025-09-10T00:00:00,40003109638,PROJEKTA VADĪTĀJS,Būvniecība / Nekustamais īpašums,1600.000,1800.000,"","",,2025-09-27T00:00:00,"","Rāmuļu iela 24, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426358725
