_id,Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
340,250821-11,2025-08-21T00:00:00,48503021348,JURISTA PALĪGS,Pakalpojumi,1350.000,1350.000,"","",,2025-09-22T00:00:00,"","Zaļā iela 3, Dobele, Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/424231565
341,250919-87,2025-09-19T00:00:00,90000018622,APKOPĒJS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,Normālais darba laiks,,2025-09-25T00:00:00,"","Pamatskola, Māriņkalns, Ziemera pag., Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427297469
342,250910-30,2025-09-16T00:00:00,90000018622,JURISTS,Valsts pārvalde,2000.000,2000.000,Viena vesela slodze,"",,2025-10-20T00:00:00,"","Dārza iela 11, Alūksne, Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426310196
343,250910-106,2025-09-10T00:00:00,90000018622,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,740.000,774.000,Viena vesela slodze,"",,2025-09-22T00:00:00,"","Raiņa bulvāris 5, Alūksne, Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426362154
344,250911-166,2025-09-11T00:00:00,90000018622,Nekustamā īpašuma SPECIĀLISTS,Valsts pārvalde,1297.000,1297.000,Viena vesela slodze,"",,2025-09-26T00:00:00,"","Pagastnams, Alsviķi, Alsviķu pag., Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426533246
345,250916-158,2025-09-16T00:00:00,90000018622,APKURES /KRĀŠŅU KURINĀTĀJS,Cita,740.000,740.000,Viena vesela slodze,"",,2025-09-23T00:00:00,"","Krustceles, Pededze, Pededzes pag., Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426897669
346,250916-192,2025-09-16T00:00:00,90000018622,APKURES /KRĀŠŅU KURINĀTĀJS,Cita,740.000,740.000,Viena vesela slodze,"",,2025-09-23T00:00:00,"","Brenci, Brenci, Malienas pag., Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426917614
347,250916-193,2025-09-16T00:00:00,90000018622,APKURES /KRĀŠŅU KURINĀTĀJS,Cita,740.000,740.000,Viena vesela slodze,"",,2025-09-23T00:00:00,"","Pagastmāja, Mārkalne, Mārkalnes pag., Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426918029
348,250916-194,2025-09-16T00:00:00,90000018622,APKURES /KRĀŠŅU KURINĀTĀJS,Cita,740.000,740.000,Viena vesela slodze,"",,2025-09-23T00:00:00,"","Pagastmāja, Mārkalne, Mārkalnes pag., Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426918663
349,250917-177,2025-09-18T00:00:00,90000018622,KARTOGRĀFS,Valsts pārvalde,1684.000,1684.000,Viena vesela slodze,"",,2025-09-24T00:00:00,"","Dārza iela 11, Alūksne, Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427099312
350,250917-178,2025-09-18T00:00:00,90000018622,Nekustamā īpašuma SPECIĀLISTS,Valsts pārvalde,1327.000,1327.000,Viena vesela slodze,"",,2025-09-24T00:00:00,"","Dārza iela 11, Alūksne, Alūksnes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427099376
351,250916-225,2025-09-16T00:00:00,90000035590,JAUNATNES DARBINIEKS,Izglītība / Zinātne,943.000,943.000,Viena vesela slodze,Summētais darba laiks,40,2025-10-05T00:00:00,"","Kuldīga, Kuldīgas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426943741
352,250916-227,2025-09-16T00:00:00,90000035590,Interešu izglītības mūzikas SKOLOTĀJS,Izglītība / Zinātne,100.000,1175.000,Nepilna slodze,Summētais darba laiks,,2025-09-22T00:00:00,"","Kuldīga, Kuldīgas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426944117
353,250916-232,2025-09-16T00:00:00,90000035590,BŪVINSPEKTORS,Būvniecība / Nekustamais īpašums,1950.000,1950.000,Viena vesela slodze,Normālais darba laiks,20,2025-09-29T00:00:00,"","Baznīcas iela 1, Kuldīga, Kuldīgas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426947501
354,240130-135,2024-12-28T00:00:00,50003407881,PSIHIATRS,Veselības aprūpe / Sociālā aprūpe,2002.000,2002.000,Viena vesela slodze,"",,2025-12-31T00:00:00,"","Alejas, Kraujas, Gārsenes pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/371132192
355,250812-92,2025-08-12T00:00:00,50003407881,MĀKSLAS TERAPEITS,Veselības aprūpe / Sociālā aprūpe,1272.000,1287.000,Nepilna slodze,"",,2025-09-30T00:00:00,"","Lielā Dārza iela 60/62, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/423419270
356,250812-91,2025-08-12T00:00:00,50003407881,BĒRNU PSIHIATRS,Veselības aprūpe / Sociālā aprūpe,2462.000,2462.000,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Lielā Dārza iela 60/62, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/423419117
357,250812-90,2025-08-12T00:00:00,50003407881,MĀKSLAS TERAPEITS,Veselības aprūpe / Sociālā aprūpe,1781.000,1781.000,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Lielā Dārza iela 60/62, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/423418798
358,250812-89,2025-08-12T00:00:00,50003407881,AUDIOLOGOPĒDS,Veselības aprūpe / Sociālā aprūpe,1781.000,1781.000,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Lielā Dārza iela 60/62, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/423418412
359,250812-88,2025-08-12T00:00:00,50003407881,ERGOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,1781.000,1781.000,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Lielā Dārza iela 60/62, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/423418174
360,250818-80,2025-08-18T00:00:00,50003407881,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,945.000,945.000,Viena vesela slodze,"",,2025-12-31T00:00:00,"","Alejas, Kraujas, Gārsenes pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/423921963
361,250827-6,2025-09-09T00:00:00,50003407881,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,979.000,979.000,"","",,2025-09-30T00:00:00,"","Alejas, Kraujas, Gārsenes pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/424729688
362,250827-3,2025-09-16T00:00:00,50003407881,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,780.000,780.000,"","",,2025-09-30T00:00:00,"","Alejas, Kraujas, Gārsenes pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/424728230
363,250916-238,2025-09-16T00:00:00,50003407881,VIRTUVES DARBINIEKS,Pakalpojumi,770.000,770.000,"",Summētais darba laiks,,2025-09-30T00:00:00,"","Alejas, Kraujas, Gārsenes pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426951639
364,250902-100,2025-09-02T00:00:00,40900030426,LOGOPĒDS,Izglītība / Zinātne,719.400,719.400,Nepilna slodze,Nepilnais darba laiks,,2025-12-01T00:00:00,"","Parādes iela 7, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/425369654
365,250901-220,2025-09-19T00:00:00,90000017453,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1120.000,1240.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"","Raiņa iela 13, Zilupe, Ludzas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425261515
366,250904-11,2025-09-04T00:00:00,90009112679,BŪVINŽENIERIS,Valsts pārvalde,1351.000,1351.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"","Lazdas, Balbiši, Ozolaines pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425635371
367,250911-45,2025-09-11T00:00:00,90009112679,KOMUNĀLINŽENIERIS,Valsts pārvalde,1300.000,1300.000,Viena vesela slodze,Normālais darba laiks,,2025-10-01T00:00:00,"","Atbrīvošanas aleja 95A, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/426463132
368,250918-25,2025-09-18T00:00:00,90009112679,PAŠVALDĪBAS IESTĀDES VADĪTĀJS /PRIEKŠNIEKS,Valsts pārvalde,1700.000,1700.000,Viena vesela slodze,Normālais darba laiks,,2025-10-03T00:00:00,"","Atbrīvošanas aleja 95A, Rēzekne",https://cvvp.nva.gov.lv/#/pub/vakances/427132651
369,250821-86,2025-08-21T00:00:00,90001267487,JURISKONSULTS,Jurisprudence / Tieslietas,1300.000,1300.000,Viena vesela slodze,"",,2025-09-22T00:00:00,"","Grāfu Plāteru iela 6, Krāslava, Krāslavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/424299325
370,241209-116,2024-12-09T00:00:00,50003197651,AUDIOLOGOPĒDS,Veselības aprūpe / Sociālā aprūpe,900.000,1200.000,Viena vesela slodze,Summētais darba laiks,1,2025-10-31T00:00:00,"","Aizputes iela 22, Kuldīga, Kuldīgas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/399805836
371,250604-213,2025-06-04T00:00:00,50003197651,ĶIRURGS,Veselības aprūpe / Sociālā aprūpe,12.000,12.000,Viena vesela slodze,Summētais darba laiks,,2025-10-31T00:00:00,"","Aizputes iela 22, Kuldīga, Kuldīgas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/416913999
372,250627-73,2025-06-27T00:00:00,50003197651,ERGOTERAPEITS,Veselības aprūpe / Sociālā aprūpe,1800.000,1800.000,Viena vesela slodze,Summētais darba laiks,40,2025-10-31T00:00:00,"","Aizputes iela 22, Kuldīga, Kuldīgas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418967653
373,250611-197,2025-06-12T00:00:00,50003197651,FIZIKĀLĀS UN REHABILITĀCIJAS MEDICĪNAS ĀRSTS,Veselības aprūpe / Sociālā aprūpe,3000.000,3500.000,Viena vesela slodze,Summētais darba laiks,,2025-10-31T00:00:00,"","Aizputes iela 22, Kuldīga, Kuldīgas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417612230
374,250912-29,2025-09-12T00:00:00,50003197651,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,7.350,7.350,Viena vesela slodze,Summētais darba laiks,,2025-09-22T00:00:00,"","Aizputes iela 22, Kuldīga, Kuldīgas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426567952
375,250912-4,2025-09-12T00:00:00,90000812928,INFORMĀCIJAS TEHNOLOĢIJU (IT) PAKALPOJUMU PĀRVALDĪBAS PROCESU VADĪTĀJS,Valsts pārvalde,2660.000,3097.000,Viena vesela slodze,Normālais darba laiks,,2025-09-25T00:00:00,"","Smilšu iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426547363
376,250903-63,2025-09-03T00:00:00,40103362321,SĒTNIEKS,Būvniecība / Nekustamais īpašums,745.670,745.670,"","",,2025-10-03T00:00:00,"","Mālpils iela 2A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425521197
377,250903-64,2025-09-03T00:00:00,40103362321,SĒTNIEKS,Būvniecība / Nekustamais īpašums,773.170,773.170,"","",,2025-10-03T00:00:00,"","Artilērijas iela 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/425523255
378,250916-148,2025-09-16T00:00:00,40103362321,SĒTNIEKS,Būvniecība / Nekustamais īpašums,566.980,566.980,Nepilna slodze,"",,2025-10-17T00:00:00,"","Bruņinieku iela 82, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426895842
379,250916-149,2025-09-16T00:00:00,40103362321,SĒTNIEKS,Būvniecība / Nekustamais īpašums,658.620,658.620,Nepilna slodze,"",,2025-10-17T00:00:00,"","Eksporta iela 8A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426896031
380,250902-71,2025-09-02T00:00:00,40003246194,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1225.000,1225.000,Viena vesela slodze,Summētais darba laiks,40,2025-09-30T00:00:00,"","Stendes iela 1, Talsi, Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425350470
381,250902-73,2025-09-02T00:00:00,40003246194,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,612.500,612.500,Nepilna slodze,Summētais darba laiks,40,2025-09-30T00:00:00,"","Stendes iela 1, Talsi, Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425353034
382,250808-89,2025-08-08T00:00:00,40003245752,Lidojumu INSTRUKTORS,Transports / Loģistika,4700.000,5100.000,Viena vesela slodze,Maiņu darbs,,2025-09-29T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/423148663
383,250630-67,2025-06-30T00:00:00,40003245752,PROGRAMMĒTĀJS,Transports / Loģistika,3700.000,4300.000,Viena vesela slodze,Normālais darba laiks,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419088620
384,250717-133,2025-07-17T00:00:00,40003245752,NOLIKTAVAS DARBINIEKS,Transports / Loģistika,1500.000,1850.000,Viena vesela slodze,Maiņu darbs,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421010878
385,250814-3,2025-08-14T00:00:00,40003245752,GAISA KUĢU TEHNISKĀS APKOPES MEHĀNIKAS INŽENIERIS,Transports / Loģistika,2100.000,2700.000,Viena vesela slodze,Maiņu darbs,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/423637049
386,250818-91,2025-08-18T00:00:00,40003245752,RAŽOŠANAS TEHNIĶIS,Transports / Loģistika,3800.000,4500.000,Viena vesela slodze,"",,2025-09-29T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/423925980
387,250730-68,2025-07-30T00:00:00,40003245752,KOMPLEKTĒŠANAS KONTROLIERIS,Transports / Loģistika,1800.000,1800.000,Viena vesela slodze,Normālais darba laiks,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/422016310
388,250805-7,2025-08-05T00:00:00,40003245752,Informācijas tehnoloģiju projektu VADĪTĀJS,Transports / Loģistika,3000.000,3000.000,Viena vesela slodze,Normālais darba laiks,,2025-09-29T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/422603880
389,250829-1,2025-08-29T00:00:00,40003245752,Struktūrvienības VADĪTĀJS (citur neklasificētu komercpakalpojumu jomā),Transports / Loģistika,3700.000,4100.000,Viena vesela slodze,Normālais darba laiks,,2025-09-29T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/424969676
390,250919-49,2025-09-19T00:00:00,40003245752,Instrumentu MEHĀNIĶIS,Transports / Loģistika,2000.000,2000.000,Viena vesela slodze,Maiņu darbs,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427271610
391,250903-116,2025-09-03T00:00:00,40003245752,SISTĒMANALĪTIĶIS,Transports / Loģistika,2400.000,3000.000,Viena vesela slodze,Normālais darba laiks,,2025-09-29T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425572462
392,250903-182,2025-09-03T00:00:00,40003245752,Lidmašīnas komercPILOTS,Transports / Loģistika,6000.000,6000.000,Viena vesela slodze,Maiņu darbs,,2025-11-17T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425612270
393,250610-161,2025-06-10T00:00:00,40003245752,Aviācijas teorētiskās apmācības INSTRUKTORS,Transports / Loģistika,2500.000,2500.000,Viena vesela slodze,Normālais darba laiks,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417452661
394,250908-46,2025-09-08T00:00:00,40003245752,Lidmašīnas aviolīniju transporta PILOTS,Transports / Loģistika,7500.000,7500.000,Viena vesela slodze,Maiņu darbs,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425995443
395,250908-49,2025-09-08T00:00:00,40003245752,Lidmašīnas komercPILOTS,Transports / Loģistika,6000.000,6000.000,Viena vesela slodze,Maiņu darbs,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425995959
396,250908-110,2025-09-08T00:00:00,40003245752,PROJEKTA VADĪTĀJS,Transports / Loģistika,2700.000,2900.000,Viena vesela slodze,Normālais darba laiks,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426037091
397,250909-99,2025-09-09T00:00:00,40003245752,Instrumentu MEHĀNIĶIS,Transports / Loģistika,1900.000,1900.000,Viena vesela slodze,Maiņu darbs,,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426193025
398,250910-50,2025-09-10T00:00:00,40003245752,Lidmašīnas aviolīniju transporta PILOTS,Transports / Loģistika,7500.000,7500.000,Viena vesela slodze,Maiņu darbs,,2025-11-24T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426325205
399,250912-82,2025-09-12T00:00:00,40003245752,Mehānismu MEHĀNIĶIS,Transports / Loģistika,1700.000,1700.000,Viena vesela slodze,"",,2025-09-22T00:00:00,"","Tehnikas iela 3, Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426603689
400,250911-150,2025-09-11T00:00:00,90000024370,Amatierteātra REŽISORS,Kultūra / Māksla,378.600,378.600,Nepilna slodze,Nepilnais darba laiks,,2025-10-10T00:00:00,"","Tautas nams, Suntaži, Suntažu pag., Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426522546
401,250908-250,2025-09-09T00:00:00,90000041652,Bibliotēkas VADĪTĀJS/ DIREKTORS,Izglītība / Zinātne,995.000,995.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-06T00:00:00,"","Saulīte, Ķeipene, Ķeipenes pag., Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426101642
402,250902-166,2025-09-02T00:00:00,90000056554,PAŠVALDĪBAS POLICIJAS VECĀKAIS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,1393.000,1797.000,Viena vesela slodze,Summētais darba laiks,,2025-10-01T00:00:00,"","Dubultu prospekts 2, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/425410752
403,250902-175,2025-09-02T00:00:00,90000056554,PAŠVALDĪBAS POLICIJAS INSPEKTORS,Drošība / Glābšanas dienesti / Aizsardzība,1205.000,1559.000,Viena vesela slodze,Summētais darba laiks,,2025-10-19T00:00:00,"","Dubultu prospekts 2, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/425417774
404,250904-188,2025-09-04T00:00:00,90000041559,AUTOMOBIĻA VADĪTĀJS,Valsts pārvalde,935.000,935.000,Viena vesela slodze,Normālais darba laiks,,2025-09-30T00:00:00,"","Pagastmāja, Madliena, Madlienas pag., Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425775599
405,250915-85,2025-09-15T00:00:00,4312902868,SOCIĀLAIS PEDAGOGS,Izglītība / Zinātne,1795.000,1795.000,Viena vesela slodze,"",40,2025-11-15T00:00:00,"","Skolas iela 3, Zaķumuiža, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426764696
406,250915-91,2025-09-15T00:00:00,4312902868,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1650.000,1650.000,"","",36,2025-11-15T00:00:00,"","Skolas iela 3, Zaķumuiža, Ropažu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426768085
407,250912-12,2025-09-12T00:00:00,90000070045,VALDES LOCEKLIS,Vadība / Administrēšana,3801.000,3801.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"","Brīvības bulvāris 36, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426556799
408,250915-38,2025-09-15T00:00:00,90000070045,JURISTS,Vadība / Administrēšana,1800.000,1800.000,Viena vesela slodze,Normālais darba laiks,,2025-09-29T00:00:00,"","Brīvības bulvāris 36, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426728988
409,250918-86,2025-09-18T00:00:00,90000024008,IZGLĪTĪBAS METODIĶIS,Izglītība / Zinātne,1800.000,2000.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-28T00:00:00,"","Līvzemes iela 8, Salaspils, Salaspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427184073
410,250919-53,2025-09-19T00:00:00,90000048491,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (KULTŪRAS JOMĀ),Kultūra / Māksla,2128.000,2583.000,Viena vesela slodze,Summētais darba laiks,40,2025-10-05T00:00:00,"","Gaismas iela 17, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427273153
411,250902-182,2025-09-02T00:00:00,90000048491,PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS,Valsts pārvalde,2128.000,2583.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-24T00:00:00,"","Gaismas iela 19 k-9 - 1, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425426770
412,250911-142,2025-09-11T00:00:00,90000048491,BŪVINSPEKTORS,Valsts pārvalde,1899.000,2307.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-28T00:00:00,"","Gaismas iela 19 k-9 - 1, Ķekava, Ķekavas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426513814
413,250919-17,2025-09-19T00:00:00,55403015551,REMONTATSLĒDZNIEKS,Pakalpojumi,740.000,740.000,Viena vesela slodze,Normālais darba laiks,,2025-10-15T00:00:00,"","Dziļā Vāda, Mežāres pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427254190
414,250903-93,2025-09-03T00:00:00,55403015551,UZSKAITES OPERATORS,Pakalpojumi,6.500,6.500,"",Maiņu darbs,,2025-09-30T00:00:00,"","Dziļā Vāda, Mežāres pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425555890
415,250909-118,2025-09-09T00:00:00,55403015551,ATKRITUMU SAVĀCĒJS,Pakalpojumi,850.000,850.000,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Darba vieta – poligons “Dziļā Vāda”, Mežāres pagasts, Jēkabpils novads.",https://cvvp.nva.gov.lv/#/pub/vakances/426209080
416,250912-171,2025-09-15T00:00:00,55403015551,ATKRITUMVEDĒJA VADĪTĀJS,Pakalpojumi,1150.000,1150.000,"",Normālais darba laiks,,2025-09-30T00:00:00,"","Zvaigžņu iela 1B, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426649073
417,250912-129,2025-09-12T00:00:00,40900001376,PEDAGOGS KARJERAS KONSULTANTS,Izglītība / Zinātne,1566.000,1566.000,Nepilna slodze,"",,2025-09-26T00:00:00,"","Skolotāju iela 4, Pāle, Pāles pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426625249
418,250912-130,2025-09-12T00:00:00,40900001376,PIRMSSKOLAS IZGLĪTĪBAS METODIĶIS,Izglītība / Zinātne,1645.000,1645.000,Nepilna slodze,Nepilnais darba laiks,,2025-09-26T00:00:00,"","Skolotāju iela 4, Pāle, Pāles pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426625488
419,250916-61,2025-09-16T00:00:00,4313900159,LIETVEDIS,Izglītība / Zinātne,1330.000,1330.000,Viena vesela slodze,Normālais darba laiks,40,2025-09-23T00:00:00,"","Pērnavas iela 31, Salacgrīva, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426854993
420,250904-171,2025-09-04T00:00:00,90009202489,SPECIĀLAIS PEDAGOGS,Izglītība / Zinātne,1260.000,1260.000,Nepilna slodze,"",,2025-10-04T00:00:00,"","Baznīcas iela 1, Jaunolaine, Olaines pag., Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425769112
421,250908-136,2025-09-08T00:00:00,90009202489,SĒTNIEKS,Pakalpojumi,750.000,750.000,Viena vesela slodze,Normālais darba laiks,40,2025-10-08T00:00:00,"","Baznīcas iela 1, Jaunolaine, Olaines pag., Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/426056503
422,250918-134,2025-09-18T00:00:00,40900010580,REMONTSTRĀDNIEKS,Izglītība / Zinātne,763.000,763.000,"","",,2025-10-06T00:00:00,"","Ata Kronvalda iela 7, Sigulda, Siguldas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/427222961
423,250905-148,2025-09-19T00:00:00,40900027411,JAUNATNES DARBINIEKS,Izglītība / Zinātne,854.000,871.000,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Miera iela 5, Čornaja, Čornajas pag., Rēzeknes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425921701
424,250901-79,2025-09-02T00:00:00,90009222536,Jaunsargu INSTRUKTORS,Vadība / Administrēšana,1700.000,2020.000,Viena vesela slodze,"",,2025-09-30T00:00:00,"","Pils iela 11, Viļaka, Balvu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425202346
425,250902-212,2025-09-02T00:00:00,90009222536,Jaunsargu INSTRUKTORS,Drošība / Glābšanas dienesti / Aizsardzība,1700.000,2020.000,Viena vesela slodze,"",,2025-09-22T00:00:00,"","Meža prospekts 13, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/425438687
426,250909-81,2025-09-10T00:00:00,90009222536,GALVENAIS EKONOMISTS,Vadība / Administrēšana,1285.000,1690.000,Viena vesela slodze,Normālais darba laiks,,2025-09-26T00:00:00,"","Talejas iela 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/426178110
